[2025-07-06 00:23:36,829: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 00:23:36,831: INFO: common: Created Directory at : artifacts]
[2025-07-06 00:23:36,832: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 00:27:58,434: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 00:27:58,438: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 00:27:58,439: INFO: common: Created Directory at : artifacts]
[2025-07-06 00:27:58,440: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 00:27:58,819: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 00:36:25,067: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 00:39:48,154: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 00:39:48,157: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 00:39:48,159: INFO: common: Created Directory at : artifacts]
[2025-07-06 00:39:48,161: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 00:39:48,551: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 00:39:49,097: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 00:41:26,987: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 00:41:26,991: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 00:41:26,992: INFO: common: Created Directory at : artifacts]
[2025-07-06 00:41:26,994: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 00:41:27,454: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 00:41:37,470: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 00:42:49,055: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 00:42:49,057: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 00:42:49,059: INFO: common: Created Directory at : artifacts]
[2025-07-06 00:42:49,061: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 00:42:49,404: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 00:42:49,886: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 00:42:59,431: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 00:42:59,434: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 00:42:59,435: INFO: common: Created Directory at : artifacts]
[2025-07-06 00:42:59,436: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 00:42:59,814: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 00:43:00,050: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 00:45:04,107: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 00:45:04,110: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 00:45:04,112: INFO: common: Created Directory at : artifacts]
[2025-07-06 00:45:04,113: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 00:45:04,501: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 00:45:04,854: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 00:45:36,960: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 00:45:36,964: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 00:45:36,967: INFO: common: Created Directory at : artifacts]
[2025-07-06 00:45:36,968: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 00:45:37,539: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 00:45:37,815: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 00:46:43,786: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 00:46:43,789: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 00:46:43,791: INFO: common: Created Directory at : artifacts]
[2025-07-06 00:46:43,792: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 00:46:44,214: INFO: _builder: Loading pretrained weights from Hugging Face hub (timm/inception_resnet_v2.tf_in1k)]
[2025-07-06 00:46:44,429: INFO: _hub: [timm/inception_resnet_v2.tf_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.]
[2025-07-06 00:47:55,072: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 00:47:55,074: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 00:47:55,075: INFO: common: Created Directory at : artifacts]
[2025-07-06 00:47:55,077: INFO: common: Created Directory at : artifacts/prepare_base_model]
[2025-07-06 00:47:57,034: INFO: common: yaml file config\config.yaml loaded successfully]
[2025-07-06 00:47:57,036: INFO: common: yaml file params.yaml loaded successfully]
[2025-07-06 00:47:57,038: INFO: common: Created Directory at : artifacts]
[2025-07-06 00:47:57,039: INFO: common: Created Directory at : artifacts/prepare_base_model]
